timestamp,days_to_spud,median_days_to_spud,operator,rig_presence
2022-01-01,0.0,0.0,CHEVRON,No Rigs
2022-02-01,343.1666666666667,343.1666666666667,CHEVRON,No Rigs
2022-03-01,0.0,0.0,CHEVRON,No Rigs
2022-04-01,56.833333333333336,56.833333333333336,CHEVRON,No Rigs
2022-05-01,0.0,0.0,CHEVRON,No Rigs
2022-06-01,0.0,0.0,CHEVRON,No Rigs
2022-07-01,143.6,143.6,CHEVRON,No Rigs
2022-08-01,126.18577075098814,126.18577075098814,CHEVRON,No Rigs
2022-09-01,94.6875,94.6875,CHEVRON,No Rigs
2022-10-01,0.0,0.0,CHEVRON,No Rigs
2022-11-01,64.75,64.75,CHEVRON,No Rigs
2022-12-01,0.0,0.0,CHEVRON,No Rigs
2023-01-01,33.733333333333334,33.733333333333334,CHEVRON,No Rigs
2023-02-01,106.15,106.15,CHEVRON,No Rigs
2023-03-01,171.66666666666666,171.66666666666666,CHEVRON,No Rigs
2023-04-01,0.0,0.0,CHEVRON,No Rigs
2023-05-01,107.28571428571429,107.28571428571429,CHEVRON,No Rigs
2023-06-01,36.5,36.5,CHEVRON,No Rigs
2022-01-01,0.0,0.0,CHEVRON,With Rigs
2022-02-01,8.5,8.5,CHEVRON,With Rigs
2022-03-01,0.0,0.0,CHEVRON,With Rigs
2022-04-01,0.0,0.0,CHEVRON,With Rigs
2022-05-01,0.0,0.0,CHEVRON,With Rigs
2022-06-01,0.0,0.0,CHEVRON,With Rigs
2022-07-01,41.0,41.0,CHEVRON,With Rigs
2022-08-01,44.5,44.5,CHEVRON,With Rigs
2022-09-01,3.25,3.25,CHEVRON,With Rigs
2022-10-01,0.0,0.0,CHEVRON,With Rigs
2022-11-01,0.0,0.0,CHEVRON,With Rigs
2022-12-01,0.0,0.0,CHEVRON,With Rigs
2023-01-01,9.571428571428571,9.571428571428571,CHEVRON,With Rigs
2023-02-01,18.22222222222222,18.22222222222222,CHEVRON,With Rigs
2023-03-01,0.0,0.0,CHEVRON,With Rigs
2023-04-01,36.0,36.0,CHEVRON,With Rigs
2023-05-01,28.166666666666668,28.166666666666668,CHEVRON,With Rigs
2023-06-01,7.0,7.0,CHEVRON,With Rigs
2022-01-01,54.78048780487805,54.78048780487805,OCCIDENTAL,No Rigs
2022-02-01,0.0,0.0,OCCIDENTAL,No Rigs
2022-03-01,0.0,0.0,OCCIDENTAL,No Rigs
